celebrity_name,season,week,results,result_type,is_present,weeks_since_exit
Billy Dee Williams,18,3,Withdrew,withdrew,False,1.0
Billy Dee Williams,18,4,Withdrew,withdrew,False,2.0
Billy Dee Williams,18,5,Withdrew,withdrew,False,3.0
Billy Dee Williams,18,6,Withdrew,withdrew,False,4.0
Billy Dee Williams,18,7,Withdrew,withdrew,False,5.0
Billy Dee Williams,18,8,Withdrew,withdrew,False,6.0
Billy Dee Williams,18,9,Withdrew,withdrew,False,7.0
Billy Dee Williams,18,10,Withdrew,withdrew,False,8.0
Dorothy Hamill,16,3,Withdrew,withdrew,False,1.0
Dorothy Hamill,16,4,Withdrew,withdrew,False,2.0
Dorothy Hamill,16,5,Withdrew,withdrew,False,3.0
Dorothy Hamill,16,6,Withdrew,withdrew,False,4.0
Dorothy Hamill,16,7,Withdrew,withdrew,False,5.0
Dorothy Hamill,16,8,Withdrew,withdrew,False,6.0
Dorothy Hamill,16,9,Withdrew,withdrew,False,7.0
Dorothy Hamill,16,10,Withdrew,withdrew,False,8.0
Jeannie Mai,29,8,Withdrew,withdrew,False,1.0
Jeannie Mai,29,9,Withdrew,withdrew,False,2.0
Jeannie Mai,29,10,Withdrew,withdrew,False,3.0
Jeannie Mai,29,11,Withdrew,withdrew,False,4.0
Kim Zolciak-Biermann,21,3,Withdrew,withdrew,False,1.0
Kim Zolciak-Biermann,21,4,Withdrew,withdrew,False,2.0
Kim Zolciak-Biermann,21,5,Withdrew,withdrew,False,3.0
Kim Zolciak-Biermann,21,6,Withdrew,withdrew,False,4.0
Kim Zolciak-Biermann,21,7,Withdrew,withdrew,False,5.0
Kim Zolciak-Biermann,21,8,Withdrew,withdrew,False,6.0
Kim Zolciak-Biermann,21,9,Withdrew,withdrew,False,7.0
Kim Zolciak-Biermann,21,10,Withdrew,withdrew,False,8.0
Kim Zolciak-Biermann,21,11,Withdrew,withdrew,False,9.0
Misty May-Treanor,7,3,Withdrew,withdrew,False,1.0
Misty May-Treanor,7,4,Withdrew,withdrew,False,2.0
Misty May-Treanor,7,5,Withdrew,withdrew,False,3.0
Misty May-Treanor,7,6,Withdrew,withdrew,False,4.0
Misty May-Treanor,7,7,Withdrew,withdrew,False,5.0
Misty May-Treanor,7,8,Withdrew,withdrew,False,6.0
Misty May-Treanor,7,9,Withdrew,withdrew,False,7.0
Misty May-Treanor,7,10,Withdrew,withdrew,False,8.0
Ray Lewis,28,3,Withdrew,withdrew,False,1.0
Ray Lewis,28,4,Withdrew,withdrew,False,2.0
Ray Lewis,28,5,Withdrew,withdrew,False,3.0
Ray Lewis,28,6,Withdrew,withdrew,False,4.0
Ray Lewis,28,7,Withdrew,withdrew,False,5.0
Ray Lewis,28,8,Withdrew,withdrew,False,6.0
Ray Lewis,28,9,Withdrew,withdrew,False,7.0
Ray Lewis,28,10,Withdrew,withdrew,False,8.0
Ray Lewis,28,11,Withdrew,withdrew,False,9.0
Sara Evans,3,6,Withdrew,withdrew,False,1.0
Sara Evans,3,7,Withdrew,withdrew,False,2.0
Sara Evans,3,8,Withdrew,withdrew,False,3.0
Sara Evans,3,9,Withdrew,withdrew,False,4.0
Sara Evans,3,10,Withdrew,withdrew,False,5.0
Selma Blair,31,6,Withdrew,withdrew,False,1.0
Selma Blair,31,7,Withdrew,withdrew,False,2.0
Selma Blair,31,8,Withdrew,withdrew,False,3.0
Selma Blair,31,9,Withdrew,withdrew,False,4.0
Selma Blair,31,10,Withdrew,withdrew,False,5.0
Tamar Braxton,21,10,Withdrew,withdrew,False,1.0
Tamar Braxton,21,11,Withdrew,withdrew,False,2.0
Tom DeLay,9,4,Withdrew,withdrew,False,1.0
Tom DeLay,9,5,Withdrew,withdrew,False,2.0
Tom DeLay,9,6,Withdrew,withdrew,False,3.0
Tom DeLay,9,7,Withdrew,withdrew,False,4.0
Tom DeLay,9,8,Withdrew,withdrew,False,5.0
Tom DeLay,9,9,Withdrew,withdrew,False,6.0
Tom DeLay,9,10,Withdrew,withdrew,False,7.0
