celebrity_name,season,ballroom_partner,celebrity_industry,celebrity_industry_clean,celebrity_homecountry_clean,celebrity_homestate_abbr,is_foreign,celebrity_age_during_season,results,placement,combine_method,is_withdrawn,last_week_active,season_mean_score_percentage,season_judge_rank,score_rank_discrepancy
AJ McLean,29,Cheryl Burke,Singer/Rapper,Musician,United States,FL,False,42.0,Eliminated Week 9,7,rank,False,9,0.7814807407407407,5.0,-2.0
Aaron Carter,9,Karina Smirnoff,Singer/Rapper,Musician,United States,FL,False,21.0,Eliminated Week 8,5,percent,False,8,0.8604154166666667,3.0,-2.0
Adam Carolla,6,Julianne Hough,Radio Personality,TV/Host,United States,CA,False,43.0,Eliminated Week 4,9,percent,False,4,0.6166666666666667,8.0,-1.0
Adam Rippon,26,Jenna Johnson,Athlete,Athlete,United States,PA,False,28.0,1st Place,1,percent,False,4,0.9291666666666667,1.0,0.0
Adrian Peterson,32,Britt Stewart,Athlete,Athlete,United States,TX,False,38.0,Eliminated Week 4,11,rank,False,4,0.5875,8.0,-3.0
Albert Reed,5,Anna Trebunskaya,Model,Model,United States,FL,False,22.0,Eliminated Week 2,11,percent,False,2,0.7,4.0,-7.0
Alek Skarlatos,21,Lindsay Arnold,Military,Other,United States,CA,False,22.0,3rd Place,3,percent,False,11,0.8212118181818181,5.0,2.0
Alexa PenaVega,21,Mark Ballas,Actor/Actress,Actor,United States,FL,False,27.0,Eliminated Week 9,6,percent,False,9,0.8518511111111111,4.0,-2.0
Alexandra Raisman,16,Mark Ballas,Athlete,Athlete,United States,MA,False,18.0,Eliminated Week 10,4,percent,False,10,0.8816666666666666,3.0,-1.0
Alexis Ren,27,Alan Bersten,Social Media Personality,Reality TV Star,United States,CA,False,21.0,4th Place,4,percent,False,9,0.8833333333333333,2.0,-2.0
Alfonso Ribeiro,19,Witney Carson,Actor/Actress,Actor,United States,NY,False,42.0,1st Place,1,percent,False,11,0.9181818181818181,1.0,0.0
Alix Earle,34,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Reality TV Star,United States,FL,False,24.0,2nd Place,2,rank,False,11,0.8791666666666668,2.0,0.0
Ally Brooke,28,Sasha Farber,Singer/Rapper,Musician,United States,TX,False,26.0,3rd Place,3,rank,False,11,0.856060606060606,1.0,-2.0
Alyson Hannigan,32,Sasha Farber,Actor/Actress,Actor,United States,DC,False,49.0,5th Place,5,rank,False,11,0.7318181818181819,5.0,0.0
