season,week,n_finalists,winner_disagreement_rate
10,10,3,0.0714
11,10,3,0.1275
12,10,2,0.0358
13,10,3,0.0113
15,10,3,0.0777
16,10,4,0.0376
17,11,3,0.0871
18,10,4,0.038
19,11,4,0.0334
1,6,2,0.0104
20,10,3,0.01
21,11,3,0.0795
22,10,3,0.0292
23,11,3,0.0462
24,10,3,0.0767
25,10,3,0.0135
26,4,3,0.0323
27,9,3,0.7541
28,11,4,0.027
29,11,3,0.929
2,8,3,0.3877
30,10,4,0.495
31,10,4,0.2631
32,11,5,0.2317
33,9,5,0.5291
34,11,4,0.0303
3,10,2,0.0
4,10,3,0.04
6,10,2,0.0643
7,10,3,0.1206
8,11,2,0.0586
9,10,2,0.0323
