season,method,celebrity,n_weeks_modeled,survive_prob_through_modeled_weeks,expected_exit_week_index,expected_exit_week_label
2,percent_direct,Jerry Rice,6,0.721702418093428,5.990191185028977,~W6
2,percent_save,Jerry Rice,6,0.6295944506988285,6.258380310217145,~W7
2,rank_direct,Jerry Rice,6,0.500625379247817,6.433207552622705,~W7
2,rank_save,Jerry Rice,6,0.0,5.964031743,~W6
4,percent_direct,Billy Ray Cyrus,5,0.12040646116720731,4.492733599313044,~W7
4,percent_save,Billy Ray Cyrus,5,0.016818263761399315,4.377459729874421,~W7
4,rank_direct,Billy Ray Cyrus,5,0.040710474787719664,4.508783833532688,~W7
4,rank_save,Billy Ray Cyrus,5,0.0007390414745625698,4.134707763964163,~W7
11,percent_direct,Bristol Palin,8,0.6025975293329084,7.27445911813142,~W8
11,percent_save,Bristol Palin,8,0.22928329864754254,6.533292530954225,~W6
11,rank_direct,Bristol Palin,8,0.1663710932977723,6.148344757169181,~W6
11,rank_save,Bristol Palin,8,0.0008304494090998039,5.698680244187054,~W5
15,percent_direct,Bristol Palin,3,0.298741497984,2.9927600779840002,~W3
15,percent_save,Bristol Palin,3,0.21373272420000003,2.6687882242,~W3
15,rank_direct,Bristol Palin,3,0.115233398784,2.155129078784,~W3
15,rank_save,Bristol Palin,3,0.104252060094,1.7034805200940002,~W2
27,percent_direct,Bobby Bones,6,0.6470855453022245,5.72813416722804,~W6
27,percent_save,Bobby Bones,6,0.3655640483864878,5.498397884869336,~W6
27,rank_direct,Bobby Bones,6,0.3138301008593159,5.270376498930817,~W6
27,rank_save,Bobby Bones,6,0.04235171028588883,5.324082698340353,~W6
