param,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,base_var
Intercept,-0.003,0.038,-0.082,0.069,0.001,0.001,4366.0,3772.0,1.0,Intercept
age_c,0.002,0.001,0.0,0.005,0.0,0.0,6531.0,3992.0,1.0,age_c
industry[Athlete],0.029,0.041,-0.046,0.114,0.001,0.001,4818.0,3986.0,1.0,industry
industry[Model],-0.115,0.09,-0.295,0.056,0.001,0.001,6512.0,3707.0,1.0,industry
industry[Musician],-0.078,0.046,-0.167,0.009,0.001,0.001,5049.0,4054.0,1.0,industry
industry[Other],0.044,0.093,-0.148,0.22,0.001,0.001,6485.0,3383.0,1.0,industry
industry[Politician],-0.135,0.226,-0.58,0.296,0.002,0.003,9508.0,4066.0,1.0,industry
industry[Reality TV Star],0.08,0.044,-0.003,0.169,0.001,0.001,4772.0,4184.0,1.0,industry
industry[TV/Host],-0.103,0.07,-0.237,0.04,0.001,0.001,5567.0,3541.0,1.0,industry
log_week,0.0,0.036,-0.072,0.07,0.0,0.001,8801.0,3618.0,1.0,log_week
