ballroom_partner,mean,hdi_lower,hdi_upper
Alan Bersten,-0.025734259185923366,-0.14411720978565656,0.06710991147833016
Alan Bersten (Rashad Jennings week 9),0.003008142616867456,-0.1273622611118712,0.13231434325250602
Alec Mazo,-0.002134837023759562,-0.11947926778355002,0.11329056124836674
Allison Holker,0.026875432661451502,-0.07660645712821314,0.1579772720324797
Andrea Hale,-0.030979971709664766,-0.19782349188708698,0.09190896707121472
Anna Demidova,0.0156964358687319,-0.09480081664704551,0.15577884458742505
Anna Trebunskaya,-0.03021628280544933,-0.13554481834305895,0.052721430182833
Artem Chigvintsev,0.009998276369703685,-0.08632300985401957,0.11180320909966776
Ashly DelGrosso,0.013409974201899617,-0.08628055288112145,0.132815475934329
Brandon Armstrong,-0.025029694092469953,-0.14302386450264787,0.0676015810321834
Brian Fortuna,-0.04348423336006373,-0.2292620115620057,0.06521855575766762
Britt Stewart,-0.03237778544047788,-0.15726641123505158,0.061731679732059966
Charlotte Jorgensen,0.005902323361564984,-0.12075868308591982,0.13174093165347278
Chelsie Hightower,0.017257740431152892,-0.080399532841796,0.1325544905824168
Cheryl Burke,0.061852917769758854,-0.021151002682824188,0.17241103392759027
Corky Ballas,0.03125503105526595,-0.07347684746823492,0.17298260975453494
Daniella Karagach,0.02519712597887496,-0.07366888421302689,0.1463070932714003
Daniella Karagach (Rumer Willis week 9),0.0044139740261314704,-0.12228546311470585,0.13734968865396516
Derek Hough,0.034162014325253266,-0.045660558980410215,0.13315405067245825
Dmitry Chaplin,0.011740538512582081,-0.09766139053831825,0.13949428204933884
Edyta Sliwinska,-0.01583237840999998,-0.12124359690562177,0.07764283175476322
Elena Grinenko,-0.024802070736049075,-0.17960787020978475,0.09355232724613219
Emma Slater,-0.029953620208070096,-0.13752256767766588,0.054091503606943155
Emma Slater/Kaitlyn Bristowe (week 9),0.03685249120127632,-0.07575569514949272,0.20562353210298412
Ezra Sosa (Apolo Anton Ohno week 9),-0.012210137872147206,-0.14902655151602776,0.10608012507377189
Fabian Sanchez,0.006533557893288148,-0.11941735885477987,0.14158540403604883
Gleb Savchenko,-0.013590709108657298,-0.11596682382118653,0.07810593310317873
Henry Byalikov,-0.040746448477941455,-0.22370350870016725,0.07137859890514937
Inna Brayer,-0.041939698983658284,-0.22531444650210622,0.07147323683399416
Jan Ravnik,0.009523804888866831,-0.11564209693735554,0.13753911202770241
Jenna Johnson,0.016852412376397237,-0.07633855371162533,0.12271778817881508
Jesse DeSoto,-0.002387887903927471,-0.12915094682427705,0.11916076090581555
Jonathan Roberts,-0.051278765833823826,-0.21835699126706765,0.0546111633962468
Julianne Hough,0.03332678445556075,-0.06494531980796235,0.17064185999843404
Karina Smirnoff,0.04316406950723384,-0.033116347865188835,0.1454639726937613
Keo Motsepe,-0.06373728257077972,-0.2178944815505466,0.03277518052258234
Koko Iwasaki,-0.019888584196288958,-0.1579737438929408,0.08983982112125216
Kym Herjavec,0.011019015412809084,-0.11528962105031983,0.15076306064682143
Kym Johnson,-0.034606531610245725,-0.15386406553608417,0.05309238817450937
Lacey Schwimmer,-0.01963653598682362,-0.13726297824515352,0.07884434400778002
Lindsay Arnold,0.01890573995248505,-0.07445405521559426,0.1317053004520495
Louis van Amstel,-0.005315214798863793,-0.10249179013444859,0.08925319949150413
Maksim Chmerkoskiy,0.03447168819804083,-0.0461027350714304,0.14028675583242212
Mark Ballas,-0.019460250826257842,-0.10643981775136133,0.05709603001082591
Nick Kosovich,-0.0038722165839279025,-0.12335526102297764,0.11290855176817165
Pasha Pashkov,-0.03698687655532823,-0.16877864115781258,0.05528815475056735
Peta Murgatroyd,-0.009637079334130534,-0.1095627540502455,0.08155844339498718
Rylee Arnold,0.021958972560543914,-0.09086027735908277,0.16472570556042207
Sasha Farber,0.04300945447725506,-0.04390576341220166,0.16574989316892
Sharna Burgess,0.017427703922920933,-0.07303925853732506,0.12334268769947465
Tony Dovolani,0.031035554127346678,-0.04875521688243799,0.12791993510595928
Tristan MacManus,0.03401290200187782,-0.07302961934124105,0.1858456334906187
Tyne Stecklein,-0.010257852227647073,-0.14142781025293916,0.11035627637964973
Val Chmerkovskiy,0.00725336308604656,-0.11935465465262068,0.1445757770419988
Val Chmerkovskiy (Joey Graziadei week 9),0.00518075925563666,-0.11629721136257427,0.13075798931633636
Valentin Chmerkovskiy,0.0070231028095994056,-0.07136414275693076,0.09557911747639015
Witney Carson,0.009343931438372234,-0.07620677664916757,0.10399113944200836
