param,q2.5,q50,q97.5,p_gt_0
Intercept,-0.130325,-0.011000000000000003,0.06807499999999989,0.4
age_c,-0.0018249999999999996,0.004,0.009549999999999998,0.8666666666666667
industry[Athlete],-0.17837499999999998,0.0935,0.24184999999999998,0.8
industry[Model],-0.33445,-0.06349999999999999,0.16734999999999983,0.3333333333333333
industry[Musician],-0.348275,-0.061000000000000006,0.17184999999999997,0.4
industry[Other],-0.230175,0.086,0.3822,0.6333333333333333
industry[Politician],-0.97245,-0.003500000000000003,0.5306499999999996,0.5
industry[Reality TV Star],-0.107725,0.11299999999999999,0.328925,0.8333333333333334
industry[TV/Host],-0.37189999999999995,-0.011000000000000003,0.21392499999999995,0.4
log_week,-0.01265,0.0,0.013474999999999987,0.4666666666666667
