param,q2.5,q50,q97.5,p_gt_0
Intercept,-0.105325,0.013999999999999999,0.0930749999999999,0.5666666666666667
age_c,-0.0068249999999999995,-0.001,0.004549999999999998,0.26666666666666666
industry[Athlete],-0.21637499999999998,0.0555,0.20384999999999998,0.7
industry[Model],-0.45145,-0.1805,0.05034999999999984,0.1
industry[Musician],-0.344275,-0.057,0.17584999999999998,0.4
industry[Other],-0.30117499999999997,0.015,0.3112,0.5
industry[Politician],-1.09345,-0.1245,0.4096499999999996,0.36666666666666664
industry[Reality TV Star],-0.166725,0.054,0.269925,0.7333333333333333
industry[TV/Host],-0.4619,-0.101,0.12392499999999994,0.2
log_week,-0.020649999999999998,-0.008,0.005474999999999988,0.16666666666666666
