param,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,0.028,0.015,-0.001,0.057,0.0,0.0,3737.0,3525.0,1.0
age_c,-0.005,0.0,-0.006,-0.004,0.0,0.0,5438.0,3624.0,1.0
log_week,-0.011,0.013,-0.035,0.014,0.0,0.0,9440.0,3637.0,1.0
industry[Athlete],-0.03,0.015,-0.058,-0.002,0.0,0.0,4644.0,3320.0,1.0
industry[Model],-0.146,0.032,-0.206,-0.082,0.0,0.0,5887.0,3673.0,1.0
industry[Musician],0.017,0.017,-0.015,0.049,0.0,0.0,5139.0,4141.0,1.0
industry[Other],-0.084,0.033,-0.145,-0.014,0.0,0.001,6345.0,3584.0,1.0
industry[Politician],-0.064,0.079,-0.217,0.092,0.001,0.001,7570.0,3694.0,1.0
industry[Reality TV Star],-0.06,0.016,-0.091,-0.03,0.0,0.0,5158.0,3857.0,1.0
industry[TV/Host],-0.065,0.025,-0.117,-0.02,0.0,0.0,6611.0,3545.0,1.0
