param,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,0.024,0.012,0.002,0.049,0.0,0.0,1912.0,2906.0,1.0
age_c,-0.005,0.0,-0.006,-0.005,0.0,0.0,4985.0,3311.0,1.0
log_week,-0.008,0.009,-0.025,0.009,0.0,0.0,10542.0,2630.0,1.0
industry[Athlete],-0.038,0.012,-0.063,-0.016,0.0,0.0,3867.0,3414.0,1.0
industry[Model],-0.117,0.027,-0.17,-0.067,0.0,0.0,6473.0,3222.0,1.0
industry[Musician],0.005,0.013,-0.019,0.032,0.0,0.0,4434.0,3105.0,1.0
industry[Other],-0.071,0.025,-0.117,-0.02,0.0,0.0,6309.0,3271.0,1.0
industry[Politician],-0.121,0.045,-0.211,-0.035,0.001,0.001,7770.0,3014.0,1.0
industry[Reality TV Star],-0.059,0.013,-0.084,-0.033,0.0,0.0,4388.0,3059.0,1.0
industry[TV/Host],-0.09,0.021,-0.132,-0.048,0.0,0.0,5378.0,3218.0,1.0
