ballroom_partner,mean,hdi_lower,hdi_upper
Alan Bersten,-0.008058306996702678,-0.05973530496387644,0.04287904852061756
Alan Bersten (Rashad Jennings week 9),0.018316120780496468,-0.056494015596312556,0.0997725800811172
Alec Mazo,0.010050305182458308,-0.05306530887869425,0.07351567224005691
Allison Holker,0.011262776003251295,-0.05118353307250727,0.07622734720775833
Andrea Hale,-0.029247883308491703,-0.120417158775309,0.04825942799044597
Anna Demidova,-0.04125376351246732,-0.1273099747792419,0.032588166976339025
Anna Trebunskaya,0.006193544919593275,-0.039952461264065715,0.05129935502535045
Artem Chigvintsev,0.047182303933598034,-0.0015488314018234234,0.10009645381725234
Ashly DelGrosso,-0.06490284674664869,-0.1343548800041818,-0.002068682266566953
Brandon Armstrong,-0.0026511336888261927,-0.06075222677294321,0.05485156733657836
Brian Fortuna,0.005300954142291257,-0.07436069281202047,0.0890958656110738
Britt Stewart,-0.03011952905348205,-0.08986659638109674,0.02534740279750689
Charlotte Jorgensen,0.05586420028095096,-0.021441081915735512,0.15708796329073121
Chelsie Hightower,-0.03077633161113558,-0.0902448552332441,0.02626257207811534
Cheryl Burke,-0.00393071762582614,-0.04659769809426992,0.03854993548853974
Corky Ballas,0.0243580602079035,-0.04102423402021735,0.0971912291017812
Daniella Karagach,0.007608912263388059,-0.048147821518253905,0.06408738477224901
Daniella Karagach (Rumer Willis week 9),0.011871814057415506,-0.0636760276863659,0.09261874236855738
Derek Hough,0.07590488791668466,0.027771462101877517,0.12465577229158749
Dmitry Chaplin,0.020097438357758783,-0.04629260274993424,0.0910416451958529
Edyta Sliwinska,-0.036089672238431784,-0.09167116207710901,0.015126904459291747
Elena Grinenko,-0.06312016774666039,-0.16380924454983636,0.014489255132851353
Emma Slater,-0.006215445494855512,-0.0535678205718417,0.04137571331772622
Emma Slater/Kaitlyn Bristowe (week 9),-0.00516952485297527,-0.08429431204044237,0.07236478099907852
Ezra Sosa (Apolo Anton Ohno week 9),0.010033166254780651,-0.06760040940092692,0.09315799893864839
Fabian Sanchez,0.0021457558750117563,-0.07682884608557666,0.08236501116440988
Gleb Savchenko,0.023219099816736158,-0.024300211373367357,0.0742731380210535
Henry Byalikov,-0.005506019590655281,-0.09203886611509876,0.07745214232813548
Inna Brayer,0.00023214397832271933,-0.08120740344974632,0.08455640686612911
Jan Ravnik,-0.00404669891566314,-0.08230149715235952,0.07635831983334171
Jenna Johnson,-0.00275989864018709,-0.05334176366494857,0.047111204295551996
Jesse DeSoto,0.004227264798673492,-0.07397551968697688,0.08308135991251214
Jonathan Roberts,-0.0004074577548852241,-0.06983724878287044,0.06725734372027414
Julianne Hough,-0.015085103276708004,-0.08050075115273332,0.049144874317149735
Karina Smirnoff,-0.015617749544484614,-0.05538715873087277,0.02496749138093413
Keo Motsepe,-0.054377733330193044,-0.11732744990060119,0.004996510705918008
Koko Iwasaki,-0.05444904011657584,-0.13791739224206653,0.015361112528530082
Kym Herjavec,-0.009845420151265312,-0.09608285343662644,0.07153208965084495
Kym Johnson,0.02555299442920085,-0.02274826431116685,0.0774022818301035
Lacey Schwimmer,-0.01017957820452519,-0.0680963618788558,0.046919747210569955
Lindsay Arnold,0.019487571203699247,-0.03271060552008779,0.07497427495718921
Louis van Amstel,0.001362881468090992,-0.04613020208404698,0.05038969201514853
Maksim Chmerkoskiy,0.0100479336804882,-0.03269977744448469,0.05308642780603218
Mark Ballas,0.011760188413192622,-0.02672711038525393,0.052985549465621444
Nick Kosovich,0.019413986076653202,-0.04696500186630103,0.09170292867392456
Pasha Pashkov,0.01825346931660973,-0.03770291391038031,0.0791771878490841
Peta Murgatroyd,-0.03761755236708402,-0.08734922211522364,0.009549142691147415
Rylee Arnold,-0.007550672648087894,-0.07941704802231146,0.061153935462183055
Sasha Farber,0.02633960865899672,-0.024183685900763523,0.07687531343319774
Sharna Burgess,0.010384695918588682,-0.03543760143474107,0.05673510200978467
Tony Dovolani,0.02393655404417826,-0.016617139770257153,0.06616711839913424
Tristan MacManus,-0.00819423232837045,-0.07668970050930934,0.05976518440802236
Tyne Stecklein,-0.029736300979991206,-0.11660798087437126,0.04584030647523587
Val Chmerkovskiy,0.02269670830413145,-0.05163767473290219,0.10519671709139092
Val Chmerkovskiy (Joey Graziadei week 9),0.007902370583507285,-0.06898211538489739,0.08891540598225077
Valentin Chmerkovskiy,0.03889218850346466,-0.005110564493972747,0.08337761437141822
Witney Carson,0.018665491752931612,-0.026109475488284507,0.06607273537663734
