ballroom_partner,mean,hdi_lower,hdi_upper
Alan Bersten,0.012780252299941737,-0.03681450464210754,0.06284603992827315
Alan Bersten (Rashad Jennings week 9),0.03150806389576013,-0.04892288696801859,0.11727510729244298
Alec Mazo,-0.011299868971149369,-0.07417560361201474,0.05129921694273906
Allison Holker,0.02034400540069489,-0.03762408938178295,0.07900355812316615
Andrea Hale,-0.032725065309129636,-0.13074034448492874,0.05853671882463134
Anna Demidova,-0.045887972619819035,-0.1319971882061113,0.03142364050205653
Anna Trebunskaya,0.0028518982820765625,-0.03884331802513268,0.04350811644270457
Artem Chigvintsev,0.06463421922707477,0.01963598841390713,0.11199840080187405
Ashly DelGrosso,-0.08446302147693402,-0.1485015752626392,-0.023619733586193837
Brandon Armstrong,0.03864872749254136,-0.011646165670872016,0.09038614520692301
Brian Fortuna,0.0025955660177195013,-0.07503634938480756,0.08212242117904978
Britt Stewart,-0.047820912229816465,-0.10449507064123228,0.0053425974049340404
Charlotte Jorgensen,0.0763872402210508,-0.006439738262045496,0.1719813138191329
Chelsie Hightower,-0.036221644841667434,-0.08887884877930252,0.015910264871412002
Cheryl Burke,0.0012261833206062165,-0.03549137720487788,0.03878327614598811
Corky Ballas,0.019494735275888374,-0.049092224123916714,0.09049457267497998
Daniella Karagach,0.004573195420948757,-0.0507386205206363,0.060526943704278295
Daniella Karagach (Rumer Willis week 9),0.001212985949532702,-0.07989732786856951,0.07976409671523019
Derek Hough,0.08768362446085327,0.047614385228069926,0.12778996073492027
Dmitry Chaplin,0.022676872897577784,-0.04666134358990635,0.09542363766361833
Edyta Sliwinska,-0.02694674673240125,-0.07505682396773362,0.02117990152036575
Elena Grinenko,-0.08445892377647155,-0.17301319744902283,-0.004840152861182251
Emma Slater,-0.00910290242790132,-0.05026560946043489,0.03132353782690325
Emma Slater/Kaitlyn Bristowe (week 9),-0.007240838145570515,-0.09129338460233448,0.07320359643622772
Ezra Sosa (Apolo Anton Ohno week 9),-0.006269407933251791,-0.08728062754421606,0.07083653912195509
Fabian Sanchez,0.010064500776595304,-0.07372920950466101,0.09200591154443404
Gleb Savchenko,0.015235570128282134,-0.029509454528599894,0.0618445020410512
Henry Byalikov,-0.004401553002778822,-0.09648435578255111,0.0855163758094036
Inna Brayer,7.197119256191336e-05,-0.08803504380392486,0.09022034772156204
Jan Ravnik,-0.0026907673867983956,-0.08218464592650161,0.07904631924380649
Jenna Johnson,-0.005045673256254279,-0.05106215888835517,0.04183322591852261
Jesse DeSoto,-0.0007232386402828881,-0.08491477533619053,0.08400285634304303
Jonathan Roberts,0.0033173874132965695,-0.06574035354113952,0.07478877039558067
Julianne Hough,-0.01851091435098251,-0.07610330494494115,0.03984312528407207
Karina Smirnoff,-0.019496684331800476,-0.05640952992145215,0.017595370479638064
Keo Motsepe,-0.06318467027080506,-0.11789745674205893,-0.010366471154103272
Koko Iwasaki,-0.06154225800942881,-0.1475356058027471,0.014408372158475005
Kym Herjavec,-0.02796747907254784,-0.11310127697958282,0.053076088170960815
Kym Johnson,0.028216518441892536,-0.01745251946441411,0.07485352462872866
Lacey Schwimmer,-0.029953911562381665,-0.0858925627649034,0.024636065852655983
Lindsay Arnold,0.025856767630532435,-0.0208989671795044,0.07251504637990507
Louis van Amstel,0.004253388172938904,-0.038684410032750936,0.04623682029609717
Maksim Chmerkoskiy,0.0286330154422757,-0.010968606724929211,0.0686039376354065
Mark Ballas,0.020912178403434182,-0.01637643080281101,0.05677494722014748
Nick Kosovich,0.023573930130655927,-0.046926208154150835,0.09718161406021514
Pasha Pashkov,0.015111818424305229,-0.040594426675520434,0.07187418275706192
Peta Murgatroyd,-0.04235490943935205,-0.08324887683752052,-0.0005303061225445957
Rylee Arnold,-0.01358148981369884,-0.08352295452552165,0.05698450698272514
Sasha Farber,0.03933555845475608,-0.0037222315544124056,0.08279257287845317
Sharna Burgess,0.0074768724130719584,-0.03380707513278672,0.04898691616773692
Tony Dovolani,0.0052250275732326195,-0.03096345990064077,0.041801512872195856
Tristan MacManus,0.02119966618469129,-0.04034341186355733,0.08147845235602146
Tyne Stecklein,-0.0593964020838825,-0.14793402148861695,0.0180255565958151
Val Chmerkovskiy,0.0352382050048165,-0.0447723533595499,0.11971731300530683
Val Chmerkovskiy (Joey Graziadei week 9),0.017043341887488753,-0.06196458480681193,0.09921068678219407
Valentin Chmerkovskiy,0.05369204349478381,0.016530780547652685,0.09067763250494038
Witney Carson,0.01276696979675406,-0.02710846751663321,0.05334478074764727
