k,param,q2.5,q50,q97.5,p_gt_0
4,Intercept,-0.06975,0.0335,0.1076999999999999,0.7
4,age_c,-0.0012749999999999,0.002,0.006,0.8333333333333334
4,industry[Athlete],-0.155475,-0.0044999999999999,0.1811749999999999,0.5
4,industry[Model],-0.540025,-0.1955,0.1605249999999997,0.1666666666666666
4,industry[Musician],-0.251875,-0.104,0.02755,0.1333333333333333
4,industry[Other],-0.4241,0.032,0.3937249999999999,0.6
4,industry[Politician],-0.931125,0.1075,0.6311249999999997,0.5666666666666667
4,industry[Reality TV Star],-0.137325,0.0495,0.1752499999999999,0.6666666666666666
4,industry[TV/Host],-0.39465,-0.092,0.199675,0.2666666666666666
4,log_week,-0.0121999999999999,0.0015,0.0098249999999999,0.6333333333333333
