k,side,param,mean,sd,hdi_2.5%,hdi_97.5%,r_hat,ess_bulk,ess_tail
4,judge,Intercept,0.024,0.012,-0.003,0.047,1.0,1129.0,2435.0
4,judge,age_c,-0.005,0.0,-0.006,-0.005,1.0,3747.0,3574.0
4,judge,log_week,-0.012,0.007,-0.025,0.002,1.0,7124.0,3392.0
4,judge,industry[Athlete],-0.035,0.011,-0.056,-0.015,1.0,3573.0,3742.0
4,judge,industry[Model],-0.102,0.025,-0.152,-0.055,1.0,5194.0,3802.0
4,judge,industry[Musician],0.006,0.012,-0.016,0.029,1.0,3842.0,3541.0
4,judge,industry[Other],-0.067,0.023,-0.11,-0.02,1.0,6110.0,3708.0
4,judge,industry[Politician],-0.136,0.042,-0.221,-0.054,1.0,6110.0,3931.0
4,judge,industry[Reality TV Star],-0.062,0.012,-0.084,-0.039,1.0,4082.0,3750.0
4,judge,industry[TV/Host],-0.083,0.019,-0.12,-0.044,1.0,6011.0,3615.0
4,fan,Intercept,0.04,0.03,-0.02,0.097,1.0,4099.0,3497.0
4,fan,age_c,-0.003,0.001,-0.005,-0.001,1.0,4595.0,3739.0
4,fan,log_week,-0.014,0.024,-0.063,0.031,1.0,7356.0,3438.0
4,fan,industry[Athlete],-0.024,0.03,-0.079,0.038,1.0,3018.0,3587.0
4,fan,industry[Model],-0.262,0.072,-0.406,-0.12,1.0,4594.0,3263.0
4,fan,industry[Musician],-0.066,0.035,-0.137,0.002,1.0,3653.0,3579.0
4,fan,industry[Other],-0.087,0.069,-0.229,0.039,1.0,5496.0,3363.0
4,fan,industry[Politician],-0.152,0.167,-0.476,0.167,1.0,6664.0,3528.0
4,fan,industry[Reality TV Star],-0.007,0.033,-0.069,0.058,1.0,3429.0,3629.0
4,fan,industry[TV/Host],-0.163,0.056,-0.275,-0.058,1.0,4743.0,3836.0
