season,week,n_finalists,winner_disagreement_rate_rank_vs_percent,winner_disagreement_rate_daws_vs_percent,winner_disagreement_rate_daws_vs_rank
10,10,3,0.0714,0.0467,0.0418
11,10,3,0.1275,0.0645,0.1859
12,10,2,0.0358,0.0607,0.0965
13,10,3,0.0113,0.0054,0.0165
15,10,3,0.0777,0.0143,0.066
16,10,4,0.0376,0.0164,0.0215
17,11,3,0.0871,0.0548,0.1304
18,10,4,0.038,0.0266,0.0307
19,11,4,0.0334,0.0225,0.0476
1,6,2,0.0104,0.0098,0.0202
20,10,3,0.01,0.0077,0.0023
21,11,3,0.0795,0.0512,0.0283
22,10,3,0.0292,0.0331,0.0555
23,11,3,0.0462,0.0275,0.063
24,10,3,0.0767,0.0582,0.0285
25,10,3,0.0135,0.0028,0.0107
26,4,3,0.0323,0.0201,0.0466
27,9,3,0.7541,0.1234,0.6659
28,11,4,0.027,0.0123,0.0393
29,11,3,0.929,0.0567,0.8723
2,8,3,0.3877,0.051,0.384
30,10,4,0.495,0.0242,0.4739
31,10,4,0.2631,0.0169,0.2478
32,11,5,0.2317,0.0097,0.2223
33,9,5,0.5291,0.0225,0.5123
34,11,4,0.0303,0.0093,0.0379
3,10,2,0.0,0.0,0.0
4,10,3,0.04,0.0282,0.0656
6,10,2,0.0643,0.0341,0.0984
7,10,3,0.1206,0.0609,0.1815
8,11,2,0.0586,0.0317,0.0903
9,10,2,0.0323,0.0175,0.0498
