season,week,n_finalists,winner_disagreement_rate_rank_vs_percent,winner_disagreement_rate_daws_vs_percent,winner_disagreement_rate_daws_vs_rank
10,10,3,0.0714,0.0534,0.0386
11,10,3,0.1275,0.0747,0.1954
12,10,2,0.0358,0.0757,0.1115
13,10,3,0.0113,0.007,0.0181
15,10,3,0.0777,0.018,0.0625
16,10,4,0.0376,0.0218,0.0161
17,11,3,0.0871,0.0619,0.1364
18,10,4,0.038,0.0322,0.0323
19,11,4,0.0334,0.027,0.0515
1,6,2,0.0104,0.0117,0.0221
20,10,3,0.01,0.0083,0.0017
21,11,3,0.0795,0.0577,0.0218
22,10,3,0.0292,0.0413,0.0636
23,11,3,0.0462,0.0322,0.067
24,10,3,0.0767,0.0646,0.0236
25,10,3,0.0135,0.0038,0.0097
26,4,3,0.0323,0.0252,0.0513
27,9,3,0.7541,0.1503,0.6482
28,11,4,0.027,0.0159,0.0429
29,11,3,0.929,0.0688,0.8602
2,8,3,0.3877,0.0634,0.3842
30,10,4,0.495,0.0305,0.4684
31,10,4,0.2631,0.0221,0.243
32,11,5,0.2317,0.0133,0.2188
33,9,5,0.5291,0.0299,0.5066
34,11,4,0.0303,0.0123,0.0404
3,10,2,0.0,0.0,0.0
4,10,3,0.04,0.0348,0.0714
6,10,2,0.0643,0.0375,0.1018
7,10,3,0.1206,0.0688,0.1894
8,11,2,0.0586,0.0361,0.0947
9,10,2,0.0323,0.0231,0.0554
