w_early,w_late,n_cut,save_enabled,method,reversal_rate,tech_vulnerability,popularity_vulnerability,n_weeks,n_samples_per_week
0.3,0.275,4,False,daws_direct,0.306825641025641,0.026625888324873098,0.003703045685279188,197,10000
0.3,0.3,4,False,daws_direct,0.3060184615384615,0.027388832487309646,0.0032319796954314722,197,10000
0.325,0.3,4,False,daws_direct,0.30823794871794874,0.0296751269035533,0.0030675126903553303,197,10000
0.325,0.325,4,False,daws_direct,0.3077974358974359,0.030454822335025382,0.0026593908629441625,197,10000
0.35,0.325,4,False,daws_direct,0.3117861538461538,0.0330248730964467,0.002552791878172589,197,10000
0.35,0.35,4,False,daws_direct,0.31158358974358974,0.03382131979695431,0.0022187817258883247,197,10000
0.375,0.35,4,False,daws_direct,0.31716307692307694,0.03662791878172589,0.00212994923857868,197,10000
0.375,0.375,4,False,daws_direct,0.317254358974359,0.03739390862944163,0.0018487309644670052,197,10000
0.4,0.375,4,False,daws_direct,0.32447179487179484,0.04043147208121827,0.0018035532994923858,197,10000
0.4,0.4,4,False,daws_direct,0.3246820512820513,0.04123857868020305,0.0015776649746192895,197,10000
0.425,0.4,4,False,daws_direct,0.3333610256410256,0.04475482233502538,0.0015416243654822334,197,10000
0.425,0.425,4,False,daws_direct,0.33380615384615386,0.045611167512690357,0.0013380710659898476,197,10000
0.45,0.425,4,False,daws_direct,0.34373179487179484,0.04960964467005076,0.001313197969543147,197,10000
0.45,0.45,4,False,daws_direct,0.3443897435897436,0.05051928934010152,0.0011436548223350254,197,10000
0.475,0.45,4,False,daws_direct,0.35592205128205123,0.05507106598984772,0.0011203045685279189,197,10000
0.5,0.45,4,False,daws_direct,0.368748717948718,0.06018223350253807,0.0011050761421319798,197,10000
0.525,0.45,4,False,daws_direct,0.3819815384615385,0.06554720812182742,0.0010862944162436548,197,10000
0.55,0.45,4,False,daws_direct,0.3946302564102564,0.07072639593908629,0.001082233502538071,197,10000
0.3,0.2,5,False,daws_direct,0.3150353846153846,0.02162233502538071,0.0069507614213197965,197,10000
