param,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,base_var
Intercept,0.016,0.033,-0.052,0.076,0.001,0.0,3187.0,3470.0,1.0,Intercept
age_c,0.002,0.001,0.0,0.004,0.0,0.0,4617.0,3745.0,1.0,age_c
industry[Athlete],0.01,0.032,-0.05,0.073,0.001,0.0,3059.0,3851.0,1.0,industry
industry[Model],-0.16,0.076,-0.316,-0.015,0.001,0.001,4725.0,3619.0,1.0,industry
industry[Musician],-0.072,0.037,-0.146,-0.001,0.001,0.0,3721.0,3571.0,1.0,industry
industry[Other],-0.021,0.073,-0.169,0.112,0.001,0.001,5365.0,2952.0,1.0,industry
industry[Politician],-0.016,0.172,-0.353,0.307,0.002,0.002,6570.0,3762.0,1.0,industry
industry[Reality TV Star],0.055,0.035,-0.012,0.124,0.001,0.0,3517.0,3767.0,1.0,industry
industry[TV/Host],-0.08,0.06,-0.19,0.042,0.001,0.001,4979.0,3749.0,1.0,industry
log_week,-0.003,0.025,-0.05,0.046,0.0,0.0,7056.0,3806.0,1.0,log_week
