param,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,0.036,0.044,-0.049,0.121,0.001,0.001,3711.0,3534.0,1.0
age_c,-0.002,0.001,-0.005,0.0,0.0,0.0,4934.0,3455.0,1.0
log_week,-0.009,0.056,-0.114,0.106,0.001,0.001,5476.0,3686.0,1.0
industry[Athlete],-0.034,0.049,-0.128,0.066,0.001,0.001,3760.0,3674.0,1.0
industry[Model],-0.187,0.106,-0.397,0.013,0.002,0.001,4609.0,3665.0,1.0
industry[Musician],-0.092,0.056,-0.2,0.018,0.001,0.001,4549.0,3750.0,1.0
industry[Other],-0.107,0.113,-0.321,0.122,0.001,0.002,5809.0,3524.0,1.0
industry[Politician],0.095,0.268,-0.427,0.628,0.003,0.004,6477.0,3217.0,1.0
industry[Reality TV Star],0.027,0.054,-0.08,0.13,0.001,0.001,4292.0,3602.0,1.0
industry[TV/Host],-0.266,0.084,-0.433,-0.099,0.001,0.001,5448.0,3902.0,1.0
