ballroom_partner,mean,hdi_lower,hdi_upper
Alan Bersten,-0.03411592804692871,-0.1821864595047266,0.09499196551471657
Alan Bersten (Rashad Jennings week 9),0.0021462911055944406,-0.17648941754847325,0.1848397380767813
Alec Mazo,-0.011592403885944106,-0.16820148235280855,0.13477402546417488
Allison Holker,0.029774899022099812,-0.11670240815447849,0.20759678355550296
Andrea Hale,-0.04782369337528126,-0.2731433986647056,0.11455655018149834
Anna Demidova,0.0198852097018668,-0.14600017197898227,0.2155445962863849
Anna Trebunskaya,0.023633941009299938,-0.09635830890940475,0.1616697773731904
Artem Chigvintsev,-0.0040977400703719885,-0.13981324251350696,0.12520523157750174
Ashly DelGrosso,0.07514335951231867,-0.05845838085983671,0.280425233329377
Brandon Armstrong,-0.01881683352665013,-0.18194751945216903,0.12719035328873138
Britt Stewart,-0.04328160083399942,-0.20958363952564962,0.09001168947877583
Charlotte Jorgensen,0.009125865324413146,-0.1685262270826162,0.19709919067471487
Chelsie Hightower,0.023021951465177163,-0.11670431700331675,0.18597853869879244
Cheryl Burke,0.09940389364423519,-0.020410473549442632,0.2568629296058004
Corky Ballas,0.03876407625822384,-0.10673305822922254,0.2251969013774451
Daniella Karagach,0.025025190154544037,-0.11024907771097324,0.19096144587336955
Daniella Karagach (Rumer Willis week 9),0.00460104859245276,-0.1769944147508265,0.19283583609331062
Derek Hough,0.03626624779580018,-0.07707649364095445,0.1745059153661
Dmitry Chaplin,0.01716062740640742,-0.1409641612449518,0.18938997742220012
Edyta Sliwinska,-0.04536450035956527,-0.2041362529529959,0.07744388764919527
Elena Grinenko,-0.0636064031053446,-0.3089637064480044,0.09642222556936958
Emma Slater,-0.048472473895976476,-0.1913238792829756,0.06929857432407255
Emma Slater/Kaitlyn Bristowe (week 9),0.04209696194445569,-0.12323579717419772,0.26355898519128734
Ezra Sosa (Apolo Anton Ohno week 9),-0.0091991878275618,-0.1951075855718577,0.17391952773146774
Fabian Sanchez,0.0040409447392371275,-0.1755704816684537,0.18546803298798473
Gleb Savchenko,-0.029910024369223537,-0.17500296906291954,0.09359827175701596
Henry Byalikov,-0.06935229700985854,-0.32721158024332203,0.0944679379467527
Inna Brayer,-0.07443770807512562,-0.3343124341790307,0.08519417642575844
Jan Ravnik,0.010977892623526605,-0.16654286257902418,0.20231850659246406
Jenna Johnson,0.006391717227375994,-0.125327851537618,0.14269832044297012
Jesse DeSoto,-0.01189758382843242,-0.2090809563348528,0.16382223607221585
Jonathan Roberts,-0.08862526124696175,-0.3228114142769136,0.05928773487399164
Julianne Hough,0.044575984097546845,-0.10543461610035622,0.23694892264431455
Karina Smirnoff,0.056601705141366934,-0.05165883406869491,0.19680610721157524
Keo Motsepe,-0.08067373632240517,-0.26907176328247995,0.04957419309621314
Koko Iwasaki,-0.03465643366344187,-0.23080803388776586,0.1180092270077688
Kym Herjavec,0.017098886941254023,-0.16215853599833188,0.23161627195205714
Kym Johnson,-0.0926512426890335,-0.27346107099806605,0.03202211714355706
Lacey Schwimmer,-0.03272932286149404,-0.1950801044444864,0.10603573646890524
Lindsay Arnold,0.02309723076526031,-0.10959081756981925,0.1754515793580069
Louis van Amstel,0.018282559615748976,-0.10640804619501666,0.15902797441222188
Maksim Chmerkoskiy,0.06276539934290903,-0.0486402181093713,0.21218904291592183
Mark Ballas,-0.01743636165810199,-0.1296263835571152,0.08708446009576071
Nick Kosovich,-0.014858785339410424,-0.18883063329460492,0.14598520944828233
Pasha Pashkov,-0.052023120057174715,-0.2230900038281133,0.08070816559125246
Peta Murgatroyd,-0.026931052320296665,-0.16970526283482473,0.09690481258112246
Rylee Arnold,0.027467330583268723,-0.13400738850546776,0.2222336292463228
Sasha Farber,0.053065900584887186,-0.06456183345993763,0.20907294962153253
Sharna Burgess,0.014014441819809527,-0.1035579028277277,0.14011250886184087
Tony Dovolani,0.050714306793745646,-0.05423329256866055,0.1776014597919092
Tristan MacManus,0.02188280893919251,-0.14488535142203707,0.2108822173339328
Tyne Stecklein,0.01557475884066997,-0.15457851260290406,0.21818958215345546
Val Chmerkovskiy,0.0008675055667598173,-0.18641553730967086,0.19110817998438112
Val Chmerkovskiy (Joey Graziadei week 9),0.00791535443525659,-0.18073812759994617,0.19921639085332682
Valentin Chmerkovskiy,0.02533764851058309,-0.08451642218543819,0.15753707222688348
Witney Carson,0.013109916904272661,-0.10624276956279365,0.14318645143898065
