param,q2.5,q50,q97.5,p_gt_0
Intercept,-0.087475,0.0045000000000000005,0.12037499999999998,0.5333333333333333
age_c,-0.002,0.0045000000000000005,0.007549999999999998,0.8666666666666667
industry[Athlete],-0.222375,0.029999999999999995,0.24854999999999994,0.6
industry[Model],-0.45625000000000004,-0.004499999999999997,0.41714999999999985,0.5
industry[Musician],-0.3627,-0.0975,0.15739999999999998,0.3
industry[Other],-0.859425,0.012000000000000007,0.4724,0.5333333333333333
industry[Politician],-0.606275,0.5285,1.3463,0.6
industry[Reality TV Star],-0.08967499999999999,0.082,0.3713749999999999,0.7666666666666667
industry[TV/Host],-0.495925,-0.14750000000000002,0.19509999999999977,0.26666666666666666
log_week,-0.0343,-0.0075,0.032275,0.4
