param,q2.5,q50,q97.5,p_gt_0
Intercept,-0.06447499999999999,0.0275,0.14337499999999997,0.6333333333333333
age_c,-0.007,-0.0005,0.002549999999999997,0.4
industry[Athlete],-0.25837499999999997,-0.006000000000000001,0.21254999999999996,0.5
industry[Model],-0.57925,-0.1275,0.29414999999999986,0.26666666666666666
industry[Musician],-0.3517,-0.0865,0.1684,0.3333333333333333
industry[Other],-0.929425,-0.057999999999999996,0.4024,0.36666666666666664
industry[Politician],-0.718275,0.4165,1.2343,0.5666666666666667
industry[Reality TV Star],-0.147675,0.024,0.3133749999999999,0.5
industry[TV/Host],-0.6049249999999999,-0.2565,0.08609999999999976,0.1
log_week,-0.0383,-0.0115,0.028274999999999998,0.36666666666666664
