param,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,0.023,0.013,-0.001,0.049,0.0,0.0,2693.0,3195.0,1.0
age_c,-0.005,0.0,-0.006,-0.005,0.0,0.0,5296.0,3792.0,1.0
log_week,-0.004,0.014,-0.032,0.022,0.0,0.0,9485.0,3345.0,1.0
industry[Athlete],-0.036,0.014,-0.064,-0.008,0.0,0.0,3989.0,3560.0,1.0
industry[Model],-0.123,0.031,-0.184,-0.064,0.0,0.0,5976.0,3630.0,1.0
industry[Musician],0.011,0.016,-0.021,0.042,0.0,0.0,4677.0,3665.0,1.0
industry[Other],-0.07,0.03,-0.129,-0.009,0.0,0.0,7352.0,3919.0,1.0
industry[Politician],-0.112,0.057,-0.225,-0.004,0.001,0.001,7669.0,3513.0,1.0
industry[Reality TV Star],-0.058,0.016,-0.087,-0.026,0.0,0.0,5138.0,3883.0,1.0
industry[TV/Host],-0.109,0.025,-0.157,-0.059,0.0,0.0,5631.0,3747.0,1.0
