ballroom_partner,mean,hdi_lower,hdi_upper
Alan Bersten,0.01412887838773699,-0.03907787682389664,0.06897397689866046
Alan Bersten (Rashad Jennings week 9),0.022927167755363995,-0.05200626957103691,0.1080390611080878
Alec Mazo,-0.02788670333486221,-0.09473912249030671,0.033977734110878746
Allison Holker,0.0205806067323317,-0.038547964236923894,0.08555617761933747
Andrea Hale,-0.022852795665989852,-0.10877527465124248,0.05294510051334764
Anna Demidova,-0.0184892309398435,-0.09754185061950844,0.05460530923941825
Anna Trebunskaya,-0.0012776731435915083,-0.04835148556415137,0.046999610488003364
Artem Chigvintsev,0.04940763978603752,0.000554424317777465,0.10005252096113862
Ashly DelGrosso,-0.06232791288571692,-0.13317750966009043,0.0013622685937353645
Brandon Armstrong,0.036089788420147734,-0.01687637352947043,0.09230192483044025
Brian Fortuna,0.0007781677001535823,-0.07349311718884194,0.07893305037307849
Britt Stewart,-0.05027812899747807,-0.11232796740684525,0.006397861085322615
Charlotte Jorgensen,0.04562935351519891,-0.03148800116549442,0.13716917429640715
Chelsie Hightower,-0.04068981881436083,-0.09921436671542852,0.014732438081207335
Cheryl Burke,0.004016825669939522,-0.03680436774604464,0.044915262601079475
Corky Ballas,0.018279756263530705,-0.051176193989935205,0.09186333917461222
Daniella Karagach,0.0086563317595665,-0.04702497910483799,0.06686929554980908
Daniella Karagach (Rumer Willis week 9),-0.008706036410072091,-0.08643320806587997,0.06814920800841696
Derek Hough,0.0732362238095816,0.02542290185117712,0.12089862757584771
Dmitry Chaplin,0.014433797117738942,-0.05666185389096913,0.08811235973960561
Edyta Sliwinska,-0.021079639459446995,-0.07459324514731856,0.02958229689833141
Elena Grinenko,-0.05692149098299796,-0.14671477676177036,0.017059039877152387
Emma Slater,-0.012248255487926463,-0.05865288542294925,0.03203550500853364
Emma Slater/Kaitlyn Bristowe (week 9),-0.0037491462574797073,-0.08412476517841595,0.07601377135086988
Ezra Sosa (Apolo Anton Ohno week 9),-0.012057060226980172,-0.08864904287097562,0.06335467104579116
Fabian Sanchez,0.013886830777300734,-0.05815222143128064,0.09476562956020908
Gleb Savchenko,0.010909304895061303,-0.037510328037045966,0.06146667712732577
Henry Byalikov,-0.004342850264366091,-0.08444920133710565,0.0763063460266013
Inna Brayer,8.786363496487354e-05,-0.08288771629987142,0.08107835846550465
Jan Ravnik,0.009749688347207207,-0.0634807644923754,0.08855257484230902
Jenna Johnson,-0.009327829770146132,-0.06034463230121608,0.04149478209708751
Jesse DeSoto,2.9546201297489712e-05,-0.07536240423575968,0.07783222391750129
Jonathan Roberts,-0.01077866832180479,-0.08159350031802891,0.05792681028013533
Julianne Hough,-0.01584800715930174,-0.07648556089367513,0.04252176172204144
Karina Smirnoff,-0.005944929278719916,-0.04736821179744051,0.03608802619329077
Keo Motsepe,-0.0425604849952197,-0.10105404420073898,0.012675470598642668
Koko Iwasaki,-0.037130891010147875,-0.11803352639258104,0.03351025597871666
Kym Herjavec,-0.01968606305254736,-0.10368425134688022,0.056533573780568135
Kym Johnson,0.013367404297542664,-0.03395732121431864,0.06367286962776464
Lacey Schwimmer,-0.012960227245908184,-0.07172802276858252,0.04713717662019813
Lindsay Arnold,0.01476062078531592,-0.034019875034118276,0.06465603067332001
Louis van Amstel,-0.0009951600130083265,-0.048914029083755695,0.04849624092065072
Maksim Chmerkoskiy,0.032016876184873845,-0.01174418031533098,0.07635018816498838
Mark Ballas,0.01687481846649951,-0.021998779696868018,0.05689203760813007
Nick Kosovich,0.008336318989794854,-0.06260744862658013,0.08422396054219856
Pasha Pashkov,0.006045397985698518,-0.05237761580387435,0.06424425106872919
Peta Murgatroyd,-0.04506188643646957,-0.09302529865446682,0.0012828782132133407
Rylee Arnold,-0.016788508519965717,-0.09199413060647887,0.054189196678206444
Sasha Farber,0.03552308391183014,-0.01193669942418107,0.08527413105412512
Sharna Burgess,0.01200174758680392,-0.03287582766559132,0.05674232462159984
Tony Dovolani,-0.002804847005849318,-0.043312760335155874,0.037040587708026325
Tristan MacManus,0.02511277739948864,-0.03397968612997851,0.09066639580785564
Tyne Stecklein,-0.0342284750034201,-0.12011631395047005,0.03856506791200954
Val Chmerkovskiy,0.022749467270118003,-0.05473480559811183,0.10710385389346258
Val Chmerkovskiy (Joey Graziadei week 9),0.011240575102522818,-0.062383792490540275,0.08912305286793001
Valentin Chmerkovskiy,0.045289923902710215,0.004064461115686359,0.08795803135660758
Witney Carson,0.01629267968423748,-0.026326867934664235,0.06309346406578668
