celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,_source_file,week,judge1_score,judge2_score,judge3_score,judge4_score,judge1_score_raw,judge2_score_raw,judge3_score_raw,judge4_score_raw,judge1_out_of_range,judge2_out_of_range,judge3_out_of_range,judge4_out_of_range,n_judges_reported,n_judges_present,n_judges_reported_raw,has_partial_na_raw,is_all_na,is_all_zero,is_present,result_type,is_withdrew_result,zero_score_conflict,week_total_score,week_total_score_raw,week_avg_score,week_max_possible,week_score_percentage,expected_judges_reported_raw,unexpected_missing_scores,combine_method_x,week_score_rank,week_score_share,last_week_scored,season_final_week,final_week_n_performers,expected_to_perform_in_finale,expected_last_week,is_competing_week,is_missing_finale_scores,is_gap_week,week_score_rank_discrepancy,is_no_elimination,is_double_elimination,n_active,final_week,is_final_week,is_no_elim_from_results,is_no_elimination_any,weeks_since_exit,exclude_from_fan_vote_inference,celebrity_industry_clean,celebrity_homecountry_clean,celebrity_homestate_clean,celebrity_homestate_abbr,is_foreign,celebrity_age_raw,age_outlier,is_withdrawn,is_withdrawn_inferred,exit_week_from_results,computed_last_week,exit_week_mismatch,partner_seasons,partner_contestants,partner_wins,partner_avg_placement,partner_avg_last_week,partner_avg_season_score_pct,partner_seasons_prior,partner_contestants_prior,partner_wins_prior,partner_avg_placement_prior,partner_avg_last_week_prior,partner_avg_season_score_pct_prior,combine_method_y,is_finale,is_eliminated,fan_vote_mean,fan_vote_std,fan_vote_ci_lower,fan_vote_ci_upper,snr,ci_width,ppc_consistency,hit_rate,elimination_count,mean_violation,acceptance_rate,converged,industry,age,age_c,log_week,y_judge
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,29,Eliminated Week 9,7,剩下赛季（排名结合法）.csv,1,6.0,6.0,6.0,,6.0,6.0,6.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,18.0,18.0,6.0,30.0,0.6,3,False,rank,5.0,0.075,9,11,3,False,9,True,False,False,-2.0,True,False,14,11,False,False,True,,False,Musician,United States,Florida,FL,False,42,False,False,False,9.0,9,False,18,17,2,6.388888888888889,7.055555555555555,0.7307557335390946,15,14,2,6.133333333333334,6.933333333333334,0.7320581641975308,,,,,,,,,,,,,,,,Musician,42.0,3.0084033613445413,0.0,0.0664685329120096
AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42.0,29,Eliminated Week 9,7,剩下赛季（排名结合法）.csv,2,7.0,6.0,6.0,,7.0,6.0,6.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,19.0,19.0,6.333333333333333,30.0,0.6333333333333333,3,False,rank,4.0,0.0756972111553784,9,11,3,False,9,True,False,False,-3.0,False,False,14,11,False,False,False,,False,Musician,United States,Florida,FL,False,42,False,False,False,9.0,9,False,18,17,2,6.388888888888889,7.055555555555555,0.7307557335390946,15,14,2,6.133333333333334,6.933333333333334,0.7320581641975308,rank,False,False,0.0737405776629944,0.0656741373898908,0.0021467956364921,0.235863167386402,1.1228252167658137,0.2337163717499098,0.9922,1.0,1.0,0.008,0.15352,True,Musician,42.0,3.0084033613445413,0.6931471805599453,0.06352914000324716
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21.0,9,Eliminated Week 8,5,3-27赛季（百分比结合法）.csv,1,10.3333,11.3333,10.3333,,10.3333,11.3333,10.3333,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,31.9999,31.9999,10.666633333333332,30.0,1.0666633333333333,3,False,percent,1.0,0.0938417067279142,8,10,2,False,8,True,False,False,-4.0,False,True,14,10,False,False,False,,False,Musician,United States,Florida,FL,False,21,False,False,False,8.0,8,False,16,16,1,6.125,7.0625,0.7436263869423401,6,6,0,6.666666666666667,6.333333333333333,0.6818981111111112,percent,False,False,0.0811142025395842,0.0842909739227356,0.0024462739209167,0.327768758389319,0.9623118427567988,0.3253224844684023,0.3664,1.0,2.0,0.0110507168222437,0.15688,True,Musician,21.0,-17.99159663865546,0.0,0.29110332395829586
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21.0,9,Eliminated Week 8,5,3-27赛季（百分比结合法）.csv,2,9.0,9.0,9.0,,9.0,9.0,9.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,27.0,27.0,9.0,30.0,0.9,3,False,percent,1.0,0.1058823529411764,8,10,2,False,8,True,False,False,-4.0,False,False,12,10,False,False,False,,False,Musician,United States,Florida,FL,False,21,False,False,False,8.0,8,False,16,16,1,6.125,7.0625,0.7436263869423401,6,6,0,6.666666666666667,6.333333333333333,0.6818981111111112,percent,False,False,0.0948742442566762,0.0614633335436437,0.0132825258453359,0.239320417569577,1.5435909286460847,0.226037891724241,0.5252,1.0,1.0,0.0097039865149645,0.275,True,Musician,21.0,-17.99159663865546,0.6931471805599453,0.24967493874336055
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43.0,6,Eliminated Week 4,9,3-27赛季（百分比结合法）.csv,1,5.0,5.0,5.0,,5.0,5.0,5.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,15.0,15.0,5.0,30.0,0.5,3,False,percent,10.0,0.072463768115942,4,10,2,False,4,True,False,False,1.0,True,False,10,10,False,False,True,,False,TV/Host,United States,California,CA,False,43,False,False,False,4.0,4,False,4,4,1,5.0,7.75,0.7596179444444444,1,1,1,1.0,10.0,0.8961106666666666,,,,,,,,,,,,,,,,TV/Host,43.0,4.008403361344541,0.0,-0.3059397629143974
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43.0,6,Eliminated Week 4,9,3-27赛季（百分比结合法）.csv,2,6.0,7.0,6.0,,6.0,7.0,6.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,19.0,19.0,6.333333333333333,30.0,0.6333333333333333,3,False,percent,8.0,0.0855855855855855,4,10,2,False,4,True,False,False,-1.0,False,False,10,10,False,False,False,,False,TV/Host,United States,California,CA,False,43,False,False,False,4.0,4,False,4,4,1,5.0,7.75,0.7596179444444444,1,1,1,1.0,10.0,0.8961106666666666,percent,False,False,0.1214868934371688,0.098302124292813,0.0026468931181156,0.3491487638966877,1.235852166853587,0.346501870778572,0.6599,1.0,1.0,0.0063787908033116,0.29064,True,TV/Host,43.0,4.008403361344541,0.6931471805599453,-0.14007604617942748
Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28.0,26,1st Place,1,3-27赛季（百分比结合法）.csv,1,8.0,8.0,8.0,,8.0,8.0,8.0,,False,False,False,False,3,3,3,True,False,False,True,winner,False,False,24.0,24.0,8.0,30.0,0.8,3,False,percent,1.0,0.1142857142857142,4,4,3,True,4,True,False,False,0.0,False,True,10,4,False,False,False,,False,Athlete,United States,Pennsylvania,PA,False,28,False,False,False,,4,False,9,9,2,6.444444444444445,6.222222222222222,0.7192891208380098,1,1,0,13.0,2.0,0.575,percent,False,False,0.1309379766719825,0.1070061719241595,0.0049208373732848,0.3934847964621559,1.223648825064219,0.3885639590888711,0.3546,1.0,2.0,0.0131149193951772,0.2786,True,Athlete,28.0,-10.991596638655459,0.0,0.1400627147834288
Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28.0,26,1st Place,1,3-27赛季（百分比结合法）.csv,2,9.0,9.5,9.0,9.5,9.0,9.5,9.0,9.5,False,False,False,False,4,4,4,False,False,False,True,winner,False,False,37.0,37.0,9.25,40.0,0.925,4,False,percent,1.0,0.1383177570093458,4,4,3,True,4,True,False,False,0.0,False,True,8,4,False,False,False,,False,Athlete,United States,Pennsylvania,PA,False,28,False,False,False,,4,False,9,9,2,6.444444444444445,6.222222222222222,0.7192891208380098,1,1,0,13.0,2.0,0.575,percent,False,False,0.15121153899174,0.0792086985826512,0.0384687185650708,0.3444790198236048,1.9090269314683157,0.306010301258534,0.3757,1.0,2.0,0.0132391423949795,0.35056,True,Athlete,28.0,-10.991596638655459,0.6931471805599453,0.10409655099522364
Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38.0,32,Eliminated Week 4,11,剩下赛季（排名结合法）.csv,1,6.0,6.0,6.0,,6.0,6.0,6.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,18.0,18.0,6.0,30.0,0.6,3,False,rank,4.0,0.0972972972972973,4,11,5,False,4,True,False,False,-7.0,False,False,11,11,False,False,False,,False,Athlete,United States,Texas,TX,False,38,False,False,False,4.0,4,False,6,6,0,10.0,5.0,0.610462962962963,3,3,0,8.666666666666666,7.0,0.6667592592592593,rank,False,False,0.0950659905168287,0.0814950453149857,0.0038422065799876,0.3090355293160501,1.1665247872767914,0.3051933227360625,0.9906,1.0,1.0,0.0107,0.22752,True,Athlete,38.0,-0.9915966386554587,0.0,0.08951183614326164
Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38.0,32,Eliminated Week 4,11,剩下赛季（排名结合法）.csv,2,5.0,5.0,5.0,,5.0,5.0,5.0,,False,False,False,False,3,3,3,True,False,False,True,eliminated,False,False,15.0,15.0,5.0,30.0,0.5,3,False,rank,9.0,0.0789473684210526,4,11,5,False,4,True,False,False,-2.0,False,False,10,11,False,False,False,,False,Athlete,United States,Texas,TX,False,38,False,False,False,4.0,4,False,6,6,0,10.0,5.0,0.610462962962963,3,3,0,8.666666666666666,7.0,0.6667592592592593,rank,False,False,0.1109081508120781,0.0650266109900887,0.0172578385969566,0.2561844528274319,1.7055809760472445,0.2389266142304752,0.9925,1.0,1.0,0.0078,0.2854,True,Athlete,38.0,-0.9915966386554587,0.6931471805599453,-0.2229708014345455
