w_early,w_late,n_cut,save_enabled,method,reversal_rate,tech_vulnerability,popularity_vulnerability,n_weeks,n_samples_per_week
0.4,0.0,4,False,daws_direct,0.3797948717948718,0.02182741116751269,0.0401015228426396,197,50
0.4,0.2,4,False,daws_direct,0.3367179487179487,0.03248730964467005,0.007512690355329949,197,50
0.4,0.2,5,False,daws_direct,0.3375384615384615,0.02751269035532995,0.00934010152284264,197,50
0.4,0.0,4,True,daws_direct,0.3797948717948718,0.02182741116751269,0.0401015228426396,197,50
0.4,0.2,4,True,daws_direct,0.3367179487179487,0.03248730964467005,0.007512690355329949,197,50
0.4,0.2,5,True,daws_direct,0.3375384615384615,0.02751269035532995,0.00934010152284264,197,50
0.4,0.0,4,True,daws_save,0.39692307692307693,0.0031472081218274113,0.040812182741116754,197,50
0.4,0.2,4,True,daws_save,0.3842051282051282,0.0035532994923857864,0.0249746192893401,197,50
0.5,0.2,4,True,daws_save,0.38738461538461544,0.004263959390862944,0.024365482233502538,197,50
0.4,0.0,5,True,daws_save,0.4187692307692307,0.0027411167512690357,0.05644670050761421,197,50
0.4,0.2,5,True,daws_save,0.3923076923076923,0.0033502538071065987,0.02862944162436548,197,50
